id;topicID;contentid;videolink;videoupload;showvideo;name;description;first;second
4b8d5529;;d18a91e3;https://www.youtube.com/shorts/bH1AczW2jgk;;;V.97_Enya | “Caribbean Blue” (1991);;;Yes
60745cf8;;5922b43d;https://youtu.be/Rk_sAHh9s08;;;V.4_Enigma | “Return To Innocence” (1994);;Yes;
63169c44;;5922b43d;https://www.youtube.com/shorts/pcySIqyltsw;;;V.50_Enigma | “Return To Innocence” (1994);;;Yes
86315f76;;ad48fcaa;https://youtu.be/tMDKeBaLWDw;;;V.3_What is fire. History of it;;Yes;
a1f1d487;;ad48fcaa;https://youtu.be/1pfqIcSydgE;;;V.97_What is fire. History of it;;;
34742d5c;;3be42089;https://youtu.be/SJKpJCiv8G0;;;V.66_Oxidization;;Yes;
cd714f3c;;3be42089;https://youtu.be/inUsvpJyenc;;;V.25_Oxidization;;;Yes
353f5dc3;;f5b6c073;https://youtu.be/5_PlnKpuaXE;;;V.77_Ignition of Fire;;Yes;
b974aae2;;18127d68;https://youtu.be/xd1alir07q4;;;V.38_Combustion;;Yes;
521f4db3;;18127d68;https://www.youtube.com/shorts/Doz7kP6LlMk;;;V.69_Combustion;;;Yes
e8cdad21;;10360cef;https://www.youtube.com/shorts/7J6iUberH6M;;;V.35_Flash point;;Yes;
610be669;;00ee065e;https://www.youtube.com/shorts/XGrvq7VTSyg;;;V.55_Convection;;Yes;
2e106fc0;;00ee065e;https://www.youtube.com/shorts/UjObv6S0SOY;;;V.70_Convection;;;Yes
b9a14f9d;;ae87ee44;https://youtu.be/3pehszGCUxQ;;;V.14_Fire triangle;;Yes;
26cbbebf;;37c6d52a;https://youtu.be/48iloyfN--M;;;V.47_Fire tetrahedron;;Yes;
55b911ba;;ea050586;https://youtu.be/a1ZdhamZnvA;;;V.63_Flame;;Yes;
90329133;;b6d77964;https://youtu.be/BCXjlshi770;;;V.24_Fuel;;Yes;
58423292;;761cb50e;https://youtu.be/Ygpzm0S_rPQ;;;V.26_Overview of history of fire;;Yes;
8393ec65;;60f9d786;https://www.youtube.com/shorts/RzBmQIwzwDY;;;V.47_About Greek Fire - Overview;;Yes;
3166370e;;25157782;https://www.youtube.com/shorts/X2dCLrhjjJ4;;;V.6_About Greek Fire - Overview;;Yes;
fe948ea8;;d556cad2;https://www.youtube.com/shorts/lsrpwAsjf3s;;;V.79_Los Angeles fire in 2025;;Yes;
991b0d46;;d556cad2;https://www.youtube.com/shorts/1-PsGYzrw5E;;;V.88_Los Angeles fire in 2025;;;Yes
64cc518a;;992f05b2;https://www.youtube.com/watch?v=iGmxCbjaO2o;;;V.80_Napalm;;Yes;
d8f1dfbd;;992f05b2;https://www.youtube.com/shorts/GK6nGMrG_CA;;;V.25_Napalm;;;Yes
4c246112;;7a773e6e;https://youtu.be/CWMATrOatRw;;;V.34_Thermite;;Yes;
3e68ac9d;;7a773e6e;https://www.youtube.com/shorts/PcXhEmdbKwU;;;V.72_Thermite;;;Yes
7fdb6cb5;;e6ae80bc;https://www.youtube.com/shorts/t0tMkpfSsA0;;;V.9_white phosphorus;;Yes;
0c403703;;e6ae80bc;https://youtu.be/ZFzo0v-NKWE;;;V.24_white phosphorus;;;Yes
cc1507bb;;1d59f132;https://youtu.be/lPUgvYZ5UDk;;;V.25_Greek Fire as modern weapon?;;;
0e6f742c;;e3e96d02;https://www.youtube.com/watch?v=TME0xubdHQc;;;V.78_“They’ll never take our freedom” | Braveheart (1995);;Yes;
c9c4f555;;23f3025a;https://www.youtube.com/watch?v=3_QSJyJaeD4;;;V.8_“Today we celebrate our Independence Day” | Independence Day (1996);;Yes;
34dbf54f;;beb71521;https://www.youtube.com/watch?v=BRYxQM1HHX0;;;V.48_“The streets of heaven are too crowded” | The West Wing: Season 4 (2002);;Yes;
ac885b59;;33bbd4e6;https://youtu.be/D6ouyeycWk8;;;V.55_“We’re a great one too” | Love, Actually (2003);;Yes;
ad647710;;fbeb8f7e;https://www.youtube.com/watch?v=1UFvhiDEbYs;;;V.58_A.1 Big Promises, Small Results: The Pattern of Failed Megaprojects;;;
28c6060e;;455c807c;https://youtu.be/bZ9ZCA52t_8;;;V.18_Hambantota;;Yes;
